inso,0,1.57930891e+02,7.24264181e+01
waso,0,5.04116669e+03,9.89273648e+01
soot,0,4.27550165e+03,1.11791693e+04
suso,0,4.33818808e+03,3.05542064e-04
inso,1,1.58913498e+02,7.18521432e+01
waso,1,4.89001384e+03,9.57431578e+01
soot,1,4.06101902e+03,1.08710184e+04
suso,1,4.29311199e+03,2.75277999e-04
inso,2,1.59898592e+02,7.12753815e+01
waso,2,4.73884774e+03,9.25721876e+01
soot,2,3.85142931e+03,1.05579745e+04
suso,2,4.24803591e+03,2.45582790e-04
inso,3,1.60827371e+02,7.07582688e+01
waso,3,4.61253191e+03,9.01089989e+01
soot,3,3.68043254e+03,1.03152120e+04
suso,3,4.19899534e+03,2.15273820e-04
inso,4,1.61758440e+02,7.02388663e+01
waso,4,4.48621631e+03,8.76455761e+01
soot,4,3.51300733e+03,1.00688780e+04
suso,4,4.14995477e+03,1.85606592e-04
inso,5,1.62691798e+02,6.97171742e+01
waso,5,4.35990095e+03,8.51819191e+01
soot,5,3.34915365e+03,9.81897240e+03
suso,5,4.10091421e+03,1.56581105e-04
inso,6,1.63627446e+02,6.91931924e+01
waso,6,4.23358582e+03,8.27180280e+01
soot,6,3.18887152e+03,9.56549528e+03
suso,6,4.05187364e+03,1.28197361e-04
inso,7,1.64565383e+02,6.86669210e+01
waso,7,4.10727093e+03,8.02539027e+01
soot,7,3.03216094e+03,9.30844662e+03
suso,7,4.00283307e+03,1.00455358e-04
inso,8,1.65438360e+02,6.81883151e+01
waso,8,4.00026068e+03,7.83116360e+01
soot,8,2.90306140e+03,9.10615666e+03
suso,8,3.95353337e+03,9.68143081e-05
inso,9,1.66313345e+02,6.77077014e+01
waso,9,3.89325823e+03,7.63615793e+01
soot,9,2.77659301e+03,8.90123555e+03
suso,9,3.90423366e+03,9.32332081e-05
inso,10,1.67190338e+02,6.72250799e+01
waso,10,3.78626357e+03,7.44037326e+01
soot,10,2.65275577e+03,8.69368329e+03
suso,10,3.85493395e+03,8.97120583e-05
inso,11,1.68069338e+02,6.67404506e+01
waso,11,3.67927669e+03,7.24380958e+01
soot,11,2.53154969e+03,8.48349987e+03
suso,11,3.80563424e+03,8.62508589e-05
inso,12,1.68950346e+02,6.62538135e+01
waso,12,3.57229761e+03,7.04646689e+01
soot,12,2.41297476e+03,8.27068530e+03
suso,12,3.75633453e+03,8.28496097e-05
inso,13,1.69777805e+02,6.58117384e+01
waso,13,3.47943581e+03,7.16364494e+01
soot,13,2.31380058e+03,8.08702714e+03
suso,13,3.70814736e+03,9.81555858e-05
inso,14,1.70607065e+02,6.53678619e+01
waso,14,3.38672611e+03,7.26561267e+01
soot,14,2.21654595e+03,7.90144943e+03
suso,14,3.65996019e+03,1.13036139e-04
inso,15,1.71438126e+02,6.49221838e+01
waso,15,3.29416851e+03,7.35237009e+01
soot,15,2.12121088e+03,7.71395216e+03
suso,15,3.61177302e+03,1.27491269e-04
inso,16,1.72270989e+02,6.44747043e+01
waso,16,3.20176301e+03,7.42391720e+01
soot,16,2.02779536e+03,7.52453535e+03
suso,16,3.56358585e+03,1.41520976e-04
inso,17,1.73105653e+02,6.40254233e+01
waso,17,3.10950962e+03,7.48025399e+01
soot,17,1.93629939e+03,7.33319898e+03
suso,17,3.51539868e+03,1.55125261e-04
inso,18,1.73882447e+02,6.36131650e+01
waso,18,3.03440244e+03,7.32829109e+01
soot,18,1.86021097e+03,7.19011634e+03
suso,18,3.46837625e+03,2.06366548e-04
inso,19,1.74660809e+02,6.31993389e+01
waso,19,2.95930910e+03,7.17494538e+01
soot,19,1.78559039e+03,7.04556588e+03
suso,19,3.42135381e+03,2.56162169e-04
inso,20,1.75440739e+02,6.27839451e+01
waso,20,2.88422958e+03,7.02021686e+01
soot,20,1.71243763e+03,6.89954758e+03
suso,20,3.37433138e+03,3.04512124e-04
inso,21,1.76222237e+02,6.23669837e+01
waso,21,2.80916389e+03,6.86410552e+01
soot,21,1.64075271e+03,6.75206145e+03
suso,21,3.32730895e+03,3.51416413e-04
inso,22,1.77005302e+02,6.19484545e+01
waso,22,2.73411202e+03,6.70661136e+01
soot,22,1.57053563e+03,6.60310748e+03
suso,22,3.28028652e+03,3.96875035e-04
inso,23,1.77757050e+02,6.15691712e+01
waso,23,2.66695770e+03,6.79849946e+01
soot,23,1.51168788e+03,6.49291243e+03
suso,23,3.23518858e+03,4.24030002e-04
inso,24,1.78510278e+02,6.11884068e+01
waso,24,2.59992470e+03,6.87825569e+01
soot,24,1.45395378e+03,6.38160374e+03
suso,24,3.19009064e+03,4.50275778e-04
inso,25,1.79264988e+02,6.08061613e+01
waso,25,2.53301302e+03,6.94588006e+01
soot,25,1.39733331e+03,6.26918140e+03
suso,25,3.14499270e+03,4.75612366e-04
inso,26,1.80021178e+02,6.04224347e+01
waso,26,2.46622266e+03,7.00137257e+01
soot,26,1.34182649e+03,6.15564543e+03
suso,26,3.09989476e+03,5.00039764e-04
inso,27,1.80778850e+02,6.00372269e+01
waso,27,2.39955362e+03,7.04473322e+01
soot,27,1.28743330e+03,6.04099583e+03
suso,27,3.05479683e+03,5.23557972e-04
inso,28,1.81497446e+02,5.96840917e+01
waso,28,2.34498046e+03,6.92098043e+01
soot,28,1.24059475e+03,5.93516970e+03
suso,28,3.01360257e+03,5.67545374e-04
inso,29,1.82217388e+02,5.93296101e+01
waso,29,2.29042368e+03,6.79558970e+01
soot,29,1.19460801e+03,5.82849178e+03
suso,29,2.97240832e+03,6.10137194e-04
inso,30,1.82938677e+02,5.89737821e+01
waso,30,2.23588328e+03,6.66856104e+01
soot,30,1.14947308e+03,5.72096204e+03
