rank,elevation_deg,lambda0_nm,lambda1_nm,lambda2_nm,score,mean,rmse,p50,p90,p95,p99,max,sample_count
5,0.000000,480,580,740,0.028098111,0.013133541,0.020541623,0.010636801,0.024051017,0.030225951,0.048928049,1.761419155,65536
5,1.000000,480,580,740,0.030768903,0.014180626,0.021988304,0.011076792,0.026841029,0.035122398,0.057874366,2.007832562,65536
5,2.000000,480,580,740,0.030176563,0.014721417,0.020978971,0.011462717,0.028436828,0.036790367,0.059243859,1.364147629,65536
5,5.000000,480,580,740,0.029348674,0.015308353,0.020013306,0.011847877,0.030465129,0.037341472,0.051688253,1.024577139,65536
5,10.000000,480,580,740,0.031879054,0.015946296,0.021394313,0.011521830,0.033612812,0.041938964,0.054344429,1.337206366,65536
5,20.000000,480,580,740,0.027475731,0.014817869,0.018465448,0.011443704,0.029304928,0.036041129,0.045158884,1.309530437,65536
5,45.000000,480,580,740,0.020174479,0.012652324,0.014598283,0.011785893,0.019286683,0.022304782,0.028949753,1.158812803,65536
5,90.000000,480,580,740,0.068943114,0.015824451,0.063954452,0.011734627,0.017043270,0.019954646,0.031363143,1.119826627,65536
6,-2.000000,480,580,730,0.022143884,0.012759260,0.015305507,0.010929928,0.022365240,0.027353509,0.041531288,0.435524919,65536
6,-1.000000,480,580,730,0.022774102,0.012691092,0.015723684,0.010651220,0.022840534,0.028201673,0.043846011,0.442328432,65536
6,0.000000,480,580,730,0.027645075,0.013082996,0.020126590,0.010617698,0.023971541,0.030073941,0.048526456,1.678496652,65536
6,1.000000,480,580,730,0.030477132,0.014127167,0.021770315,0.011066491,0.026720731,0.034827270,0.057358653,1.973924694,65536
6,2.000000,480,580,730,0.029933332,0.014678536,0.020826820,0.011468813,0.028299904,0.036426046,0.058650174,1.345075602,65536
6,5.000000,480,580,730,0.029352962,0.015335358,0.020012255,0.011886362,0.030486060,0.037362826,0.051515945,1.012738720,65536
6,10.000000,480,580,730,0.031990976,0.016007570,0.021468757,0.011564897,0.033737598,0.042088877,0.054516901,1.340627511,65536
6,20.000000,480,580,730,0.027582600,0.014870230,0.018536152,0.011468329,0.029437569,0.036185793,0.045350320,1.315160224,65536
6,45.000000,480,580,730,0.020221008,0.012678046,0.014627873,0.011821948,0.019333749,0.022372540,0.029002712,1.163446520,65536
6,90.000000,480,580,730,0.069288823,0.015852300,0.064313473,0.011764656,0.016991499,0.019901400,0.031332101,1.124683706,65536
7,-2.000000,480,580,750,0.022289302,0.012847245,0.015402658,0.011005281,0.022518186,0.027546577,0.041757501,0.435552223,65536
7,-1.000000,480,580,750,0.022905175,0.012761503,0.015806314,0.010708399,0.022961480,0.028395445,0.044103311,0.442411153,65536
7,0.000000,480,580,750,0.028729340,0.013164071,0.021155010,0.010647193,0.024089637,0.030297323,0.049083803,1.850947852,65536
7,1.000000,480,580,750,0.030915436,0.014206649,0.022107687,0.011079903,0.026914157,0.035230997,0.058147055,2.036333508,65536
7,2.000000,480,580,750,0.030289937,0.014742500,0.021059630,0.011458930,0.028497816,0.036921231,0.059580836,1.375350051,65536
7,5.000000,480,580,750,0.029354617,0.015296148,0.020015650,0.011838931,0.030460132,0.037355867,0.051723538,1.030899713,65536
7,10.000000,480,580,750,0.031826875,0.015918477,0.021360251,0.011503665,0.033557376,0.041866498,0.054282316,1.335662357,65536
7,20.000000,480,580,750,0.027424783,0.014794898,0.018433840,0.011428615,0.029245360,0.035963774,0.045093145,1.306818493,65536
7,45.000000,480,580,750,0.020157095,0.012642716,0.014586863,0.011772109,0.019274169,0.022280928,0.028934205,1.156667501,65536
7,90.000000,480,580,750,0.068791149,0.015814561,0.063794646,0.011722270,0.017070110,0.019986010,0.031348463,1.117669588,65536
8,-2.000000,480,580,760,0.022313576,0.012860697,0.015417762,0.011015988,0.022543649,0.027583258,0.041830836,0.435554055,65536
8,-1.000000,480,580,760,0.022923412,0.012772263,0.015819373,0.010715972,0.022986705,0.028416154,0.044136351,0.442416585,65536
8,0.000000,480,580,760,0.029073298,0.013178331,0.021491401,0.010650171,0.024106703,0.030327587,0.049213314,1.951399452,65536
8,1.000000,480,580,760,0.030991271,0.014219569,0.022162649,0.011079319,0.026938250,0.035314485,0.058240246,2.046384197,65536
8,2.000000,480,580,760,0.030344566,0.014752868,0.021096318,0.011458636,0.028537631,0.036992990,0.059669172,1.379095997,65536
