rank,elevation_deg,lambda0_nm,lambda1_nm,lambda2_nm,lambda3_nm,score,mean,rmse,p50,p90,p95,p99,max,sample_count
5,-1.000000,410,480,540,600,0.019390295,0.010952693,0.013457241,0.009303369,0.019130580,0.023732213,0.037574396,0.314351437,65536
5,0.000000,410,480,540,600,0.023487051,0.011035586,0.017278932,0.009046587,0.019494558,0.024832473,0.040596955,1.513505920,65536
5,1.000000,410,480,540,600,0.022629438,0.011184868,0.015951610,0.008899326,0.020475158,0.026711313,0.044310476,1.022816999,65536
5,2.000000,410,480,540,600,0.020620457,0.010808533,0.014038407,0.008566422,0.020166940,0.026328198,0.042643537,0.396343618,65536
5,5.000000,410,480,540,600,0.017456001,0.009228872,0.012141302,0.007560870,0.016701064,0.021258796,0.033032606,0.669770922,65536
5,10.000000,410,480,540,600,0.014289023,0.007876569,0.010016574,0.006664881,0.013708843,0.017089797,0.026963198,0.289224368,65536
5,20.000000,410,480,540,600,0.013118098,0.007394463,0.009273059,0.006459861,0.012732037,0.015380158,0.023875988,0.415884349,65536
5,45.000000,410,480,540,600,0.012886012,0.007824703,0.009107038,0.007077828,0.013029883,0.015115896,0.021231752,0.194735233,65536
5,90.000000,410,480,540,600,0.023083833,0.009320508,0.019057899,0.007552196,0.013749155,0.016103738,0.024701011,0.406558672,65536
6,-2.000000,410,480,540,610,0.019194899,0.011040557,0.013370147,0.009557467,0.018759541,0.023299005,0.036997441,0.319233417,65536
6,-1.000000,410,480,540,610,0.019575382,0.011086382,0.013652723,0.009524044,0.018890183,0.023690634,0.038284477,0.325062461,65536
6,0.000000,410,480,540,610,0.026087345,0.011373834,0.020039094,0.009565350,0.019271907,0.024193005,0.039685645,1.994110679,65536
6,1.000000,410,480,540,610,0.020699501,0.011429711,0.014486727,0.009671291,0.019612176,0.024851096,0.040692812,0.407326095,65536
6,2.000000,410,480,540,610,0.020163784,0.011334959,0.014109109,0.009745983,0.019378890,0.024218700,0.039114769,0.479335609,65536
6,5.000000,410,480,540,610,0.019051007,0.010926863,0.013481000,0.009632759,0.018403560,0.022280028,0.034354030,0.609118858,65536
6,10.000000,410,480,540,610,0.017633014,0.010430574,0.012522189,0.009487039,0.017377579,0.020443299,0.030078639,0.363904485,65536
6,20.000000,410,480,540,610,0.016628806,0.009923841,0.011760138,0.009192942,0.016779563,0.019474671,0.027162261,0.258824311,65536
6,45.000000,410,480,540,610,0.015604225,0.009446938,0.011006297,0.008937893,0.016114666,0.018391711,0.024428675,0.225534651,65536
6,90.000000,410,480,540,610,0.019909439,0.010129873,0.015185689,0.009089983,0.016340057,0.018894998,0.027169400,0.387764939,65536
7,-2.000000,410,480,550,620,0.017576852,0.009659743,0.012098039,0.007992342,0.017093126,0.021915251,0.035690714,0.328565322,65536
7,-1.000000,410,480,550,620,0.018071209,0.009721341,0.012476178,0.007931355,0.017318648,0.022380124,0.037579805,0.332457194,65536
7,0.000000,410,480,550,620,0.020516984,0.009868824,0.014834310,0.007925350,0.017663085,0.022730697,0.038448634,0.972705602,65536
7,1.000000,410,480,550,620,0.019444350,0.010017164,0.013607886,0.008048821,0.018048615,0.023345856,0.040222051,0.606628796,65536
7,2.000000,410,480,550,620,0.018641370,0.010000081,0.012912338,0.008162576,0.017854190,0.022916128,0.038801910,0.441861726,65536
7,5.000000,410,480,550,620,0.018154931,0.009857388,0.012828147,0.008310719,0.017100604,0.021307136,0.034193989,0.609864377,65536
7,10.000000,410,480,550,620,0.016878302,0.009680969,0.011954630,0.008525034,0.016403859,0.019694688,0.030249357,0.410846724,65536
7,20.000000,410,480,550,620,0.016311493,0.009843296,0.011508568,0.008942877,0.016357098,0.019211699,0.027431845,0.236649491,65536
7,45.000000,410,480,550,620,0.016096132,0.010143132,0.011493821,0.009419094,0.015999571,0.018409244,0.024626735,0.370035628,65536
7,90.000000,410,480,550,620,0.029901806,0.011756437,0.025216655,0.009616910,0.016232837,0.018740605,0.028020624,0.508747827,65536
8,-2.000000,440,500,580,670,0.017708192,0.009917594,0.012272067,0.008329871,0.017236716,0.021744503,0.035730716,0.196667591,65536
8,-1.000000,440,500,580,670,0.017925712,0.009776246,0.012476491,0.008098267,0.017178485,0.021796886,0.036938731,0.490394733,65536
8,0.000000,440,500,580,670,0.019439470,0.009804335,0.013938251,0.008026221,0.017042820,0.022004875,0.038075058,0.832186576,65536
8,1.000000,440,500,580,670,0.018539772,0.009782975,0.013020780,0.008048315,0.017007352,0.022075969,0.038144552,0.632156672,65536
8,2.000000,440,500,580,670,0.017939733,0.009695258,0.012595630,0.008041313,0.016676975,0.021376412,0.036707930,0.497222816,65536
8,5.000000,440,500,580,670,0.016700376,0.009399032,0.011849795,0.008117750,0.015687814,0.019402325,0.032529381,0.563352771,65536
8,10.000000,440,500,580,670,0.016051284,0.009369673,0.011354627,0.008279974,0.015500921,0.018786625,0.028752178,0.313894562,65536
8,20.000000,440,500,580,670,0.015790946,0.009491959,0.011164606,0.008522225,0.015620449,0.018505361,0.026745086,0.361818029,65536
8,45.000000,440,500,580,670,0.015657234,0.009703295,0.011177434,0.008770455,0.015444152,0.017919200,0.024693625,0.511290884,65536
8,90.000000,440,500,580,670,0.033513575,0.011549354,0.028910869,0.008988305,0.015702357,0.018410824,0.027416743,0.619770882,65536
9,-2.000000,410,480,530,590,0.018118065,0.010147034,0.012447212,0.008540084,0.017952802,0.022683415,0.035860555,0.305155038,65536
9,-1.000000,410,480,530,590,0.018289494,0.009980317,0.012575049,0.008190075,0.017937192,0.022857780,0.036963330,0.309828704,65536
9,0.000000,410,480,530,590,0.026032396,0.010069668,0.019927403,0.007792809,0.018599244,0.024419971,0.040859323,2.072700639,65536
9,1.000000,410,480,530,590,0.023206039,0.010424580,0.016276772,0.007632935,0.020222022,0.027717065,0.047974469,1.256454727,65536
9,2.000000,410,480,530,590,0.022359671,0.010303896,0.015352920,0.007525580,0.020331066,0.028027003,0.047078007,1.109159436,65536
9,5.000000,410,480,530,590,0.017768036,0.008965431,0.012298054,0.007079638,0.016633862,0.021879929,0.034247272,0.607773044,65536
9,10.000000,410,480,530,590,0.014816854,0.008183778,0.010520610,0.007063016,0.014034530,0.017184977,0.027144086,0.421366118,65536
9,20.000000,410,480,530,590,0.014423791,0.008528103,0.010192900,0.007819613,0.014375071,0.016923563,0.024670857,0.152272603,65536
9,45.000000,410,480,530,590,0.015428215,0.009590787,0.011004093,0.009213032,0.015553697,0.017696489,0.023573705,0.288139737,65536
9,90.000000,410,480,530,590,0.024618661,0.011200402,0.019953676,0.009894586,0.016453122,0.018659941,0.027479567,0.437173688,65536
10,-2.000000,440,490,570,660,0.019309469,0.010794963,0.013239013,0.008975069,0.019691412,0.024281823,0.037052655,0.193823419,65536
10,-1.000000,440,490,570,660,0.020058540,0.011092751,0.013779578,0.009156762,0.020224620,0.025115848,0.038755180,0.312643896,65536
10,0.000000,440,490,570,660,0.023850794,0.011561901,0.017233299,0.009356190,0.021014919,0.026469981,0.041838067,1.086433231,65536
10,1.000000,440,490,570,660,0.024484046,0.012142528,0.017295774,0.009668051,0.022556102,0.028753088,0.045813497,1.077704702,65536
10,2.000000,440,490,570,660,0.023452897,0.012218429,0.016083299,0.009717956,0.023229421,0.029478391,0.046337337,0.760869650,65536
10,5.000000,440,490,570,660,0.022454382,0.011474281,0.015618649,0.009126724,0.021845169,0.027342933,0.039915641,0.972144005,65536
10,10.000000,440,490,570,660,0.018384262,0.009818299,0.012759455,0.008025150,0.018246159,0.022499228,0.031973629,0.758701513,65536
10,20.000000,440,490,570,660,0.014101481,0.008186892,0.009873423,0.007239436,0.014025005,0.016912231,0.024409339,0.490542959,65536
10,45.000000,440,490,570,660,0.012235418,0.007317713,0.008696556,0.006890388,0.012356370,0.014155447,0.019292285,0.226241670,65536
10,90.000000,440,490,570,660,0.017918477,0.008078166,0.014273961,0.007185145,0.012644984,0.014578064,0.022377343,0.334674815,65536
11,-2.000000,410,470,540,620,0.019138626,0.010425681,0.013155118,0.008534734,0.018748947,0.023934034,0.039687400,0.214182552,65536
11,-1.000000,410,470,540,620,0.019536468,0.010437118,0.013434759,0.008450785,0.018851033,0.024406839,0.040789440,0.313402531,65536
11,0.000000,410,470,540,620,0.022464173,0.010607492,0.016176299,0.008394405,0.019333509,0.025151496,0.042320118,1.199751838,65536
11,1.000000,410,470,540,620,0.021287774,0.010718149,0.014823313,0.008405371,0.019763794,0.025857843,0.043231656,0.702019125,65536
11,2.000000,410,470,540,620,0.020383914,0.010655382,0.014018923,0.008470360,0.019747399,0.025459964,0.042807477,0.337693515,65536
11,5.000000,410,470,540,620,0.019648898,0.010310399,0.013702335,0.008329025,0.018919798,0.023786253,0.038923403,0.607979360,65536
11,10.000000,410,470,540,620,0.018695485,0.009959003,0.012925722,0.008108528,0.018321654,0.023079051,0.036236719,0.454667279,65536
11,20.000000,410,470,540,620,0.016857976,0.009276980,0.011669694,0.007762036,0.016707096,0.020753129,0.031702127,0.321179190,65536
11,45.000000,410,470,540,620,0.014354749,0.008440026,0.010088952,0.007578226,0.014235765,0.017063185,0.025270175,0.335455439,65536
11,90.000000,410,470,540,620,0.027117689,0.009680604,0.022837381,0.007735313,0.014197794,0.017121231,0.028317782,0.616478525,65536
