rank,elevation_deg,lambda0_nm,lambda1_nm,lambda2_nm,lambda3_nm,score,mean,rmse,p50,p90,p95,p99,max,sample_count
5,-1.000000,420,490,580,670,0.018300971,0.010217176,0.012749548,0.008618269,0.017440715,0.022205688,0.036522083,0.310932947,65536
5,0.000000,420,490,580,670,0.019452688,0.010065624,0.013943155,0.008383543,0.017204539,0.022038135,0.037979827,0.840579480,65536
5,1.000000,420,490,580,670,0.019726181,0.010055359,0.014000758,0.008193930,0.017475944,0.022901692,0.038480029,0.927166853,65536
5,2.000000,420,490,580,670,0.018567840,0.009855162,0.013000819,0.008069651,0.017235985,0.022268084,0.037785493,0.670852671,65536
5,5.000000,420,490,580,670,0.016829472,0.009105924,0.011993911,0.007735216,0.015404806,0.019342242,0.031622359,0.568114768,65536
5,10.000000,420,490,580,670,0.015086586,0.008642446,0.010735904,0.007626962,0.014314887,0.017402727,0.027787673,0.279784066,65536
5,20.000000,420,490,580,670,0.014382664,0.008483480,0.010148897,0.007638483,0.014092076,0.016935068,0.025224786,0.306649936,65536
5,45.000000,420,490,580,670,0.014108650,0.008473299,0.010020599,0.007588734,0.013868366,0.016352203,0.023297347,0.398721021,65536
5,90.000000,420,490,580,670,0.027246637,0.009881019,0.023024936,0.007700088,0.014151391,0.016886804,0.027017031,0.524768041,65536
6,-2.000000,410,480,540,600,0.019461482,0.011276138,0.013511019,0.009800716,0.019429275,0.023801854,0.036687133,0.313945864,65536
6,-1.000000,410,480,540,600,0.019782314,0.011267694,0.013748784,0.009634750,0.019600935,0.024134120,0.037877618,0.317051713,65536
6,0.000000,410,480,540,600,0.023890771,0.011418728,0.017552865,0.009445734,0.020029394,0.025351627,0.040987609,1.515107502,65536
6,1.000000,410,480,540,600,0.023262896,0.011649329,0.016404824,0.009369065,0.021163792,0.027432290,0.045123152,1.036713543,65536
6,2.000000,410,480,540,600,0.021411714,0.011331408,0.014586084,0.009063720,0.021000541,0.027302520,0.043694674,0.422744915,65536
6,5.000000,410,480,540,600,0.018307297,0.009761564,0.012737664,0.008045576,0.017647087,0.022278533,0.034243470,0.732638025,65536
6,10.000000,410,480,540,600,0.014795800,0.008184758,0.010371350,0.006916114,0.014296235,0.017697798,0.027498469,0.377331413,65536
6,20.000000,410,480,540,600,0.012901558,0.007258232,0.009141042,0.006333542,0.012424254,0.015042065,0.023624368,0.411743377,65536
6,45.000000,410,480,540,600,0.012009588,0.007167292,0.008490198,0.006530232,0.012091283,0.014077560,0.020409226,0.193545439,65536
6,90.000000,410,480,540,600,0.018064543,0.008184151,0.014313332,0.006896688,0.012729327,0.015004847,0.023617446,0.369362396,65536
7,-2.000000,440,490,580,680,0.017761196,0.010074877,0.012338766,0.008571971,0.017260357,0.021689720,0.035799810,0.204210536,65536
7,-1.000000,440,490,580,680,0.018018182,0.009865168,0.012493805,0.008207705,0.017291566,0.022097508,0.036501911,0.317345086,65536
