inso,0,1.59241587e+02,7.16601656e+01
waso,0,4.83962661e+03,9.46846970e+01
soot,0,3.99061212e+03,1.07672141e+04
suso,0,4.27808663e+03,2.65316390e-04
inso,1,1.61758440e+02,7.02388663e+01
waso,1,4.48621631e+03,8.76455761e+01
soot,1,3.51300733e+03,1.00688780e+04
suso,1,4.14995477e+03,1.85606592e-04
inso,2,1.64252483e+02,6.88425992e+01
waso,2,4.14937586e+03,8.10753038e+01
soot,2,3.08400096e+03,9.39452634e+03
suso,2,4.01917993e+03,1.09631388e-04
inso,3,1.66605453e+02,6.75470507e+01
waso,3,3.85759248e+03,7.57098293e+01
soot,3,2.73502158e+03,8.83234381e+03
suso,3,3.88780042e+03,9.20528302e-05
inso,4,1.68950346e+02,6.62538135e+01
waso,4,3.57229761e+03,7.04646689e+01
soot,4,2.41297476e+03,8.27068530e+03
suso,4,3.75633453e+03,8.28496097e-05
inso,5,1.71160905e+02,6.50709433e+01
waso,5,3.32500414e+03,7.32514099e+01
soot,5,2.15277595e+03,7.77666453e+03
suso,5,3.62783541e+03,1.22720162e-04
inso,6,1.73364410e+02,6.38881780e+01
waso,6,3.08447236e+03,7.42975334e+01
soot,6,1.91077349e+03,7.28566786e+03
suso,6,3.49972454e+03,1.72366320e-04
inso,7,1.75440739e+02,6.27839451e+01
waso,7,2.88422958e+03,7.02021686e+01
soot,7,1.71243763e+03,6.89954758e+03
suso,7,3.37433138e+03,3.04512124e-04
inso,8,1.77506302e+02,6.16957635e+01
waso,8,2.68932900e+03,6.76921808e+01
soot,8,1.53118006e+03,6.52976785e+03
suso,8,3.25022123e+03,4.15079367e-04
inso,9,1.79516887e+02,6.06784170e+01
waso,9,2.51073609e+03,6.96572555e+01
soot,9,1.37870730e+03,6.23145982e+03
suso,9,3.12996005e+03,4.83855853e-04
inso,10,1.81497446e+02,5.96840917e+01
waso,10,2.34498046e+03,6.92098043e+01
soot,10,1.24059475e+03,5.93516970e+03
suso,10,3.01360257e+03,5.67545374e-04
inso,11,1.83420284e+02,5.87358156e+01
waso,11,2.19953211e+03,6.58296530e+01
soot,11,1.11985635e+03,5.64880232e+03
suso,11,2.90375124e+03,6.78022264e-04
inso,12,1.85288418e+02,5.78146105e+01
waso,12,2.06202005e+03,6.62551126e+01
soot,12,1.01281676e+03,5.39486087e+03
suso,12,2.79532426e+03,1.30901795e-03
inso,13,1.87100952e+02,5.69213737e+01
waso,13,1.93306235e+03,6.98680922e+01
soot,13,9.18394454e+02,5.17442687e+03
suso,13,2.68832169e+03,2.39985710e-03
inso,14,1.88911763e+02,5.60500133e+01
waso,14,1.80366989e+03,7.31807230e+01
soot,14,8.35235675e+02,4.97221230e+03
suso,14,2.58575166e+03,2.57092700e-03
