rank,elevation_deg,lambda0_nm,lambda1_nm,lambda2_nm,score,mean,rmse,p50,p90,p95,p99,max,sample_count
5,0.000000,480,580,700,0.027816474,0.015127558,0.020034959,0.013126223,0.025775717,0.031126061,0.048176292,1.444128983,65536
5,1.000000,480,580,700,0.031235489,0.016946560,0.022457401,0.014553455,0.028921637,0.035112350,0.054230369,1.584284844,65536
5,2.000000,480,580,700,0.032611909,0.018540886,0.023085655,0.015999526,0.031747855,0.038105014,0.056075381,1.261164863,65536
5,5.000000,480,580,700,0.039490971,0.023004039,0.027260619,0.019323786,0.040896781,0.048921407,0.063568365,1.048147924,65536
5,10.000000,480,580,700,0.048980532,0.027432325,0.033537434,0.022022307,0.050639496,0.061772394,0.077226403,1.974250870,65536
5,20.000000,480,580,700,0.049533309,0.029515675,0.034118915,0.024693597,0.051811615,0.061657577,0.073564651,2.276472478,65536
5,45.000000,480,580,700,0.044716608,0.030179828,0.032930253,0.029715224,0.042436101,0.047145419,0.055406419,2.383938024,65536
5,90.000000,480,580,700,0.153840073,0.038631526,0.143494564,0.030620073,0.037678124,0.041382033,0.057978512,2.395573441,65536
6,-2.000000,490,590,680,0.027422924,0.018451582,0.020043246,0.018072299,0.026069026,0.029518713,0.042851196,0.261390027,65536
6,-1.000000,490,590,680,0.027294161,0.018444801,0.020080416,0.018273910,0.025827641,0.028854980,0.042342739,0.304384231,65536
6,0.000000,490,590,680,0.029199696,0.019042923,0.021872631,0.018940469,0.026482084,0.029308259,0.043188701,1.467126615,65536
6,1.000000,490,590,680,0.029910840,0.019867968,0.022308079,0.019878039,0.027708503,0.030411042,0.045243883,1.028162653,65536
6,2.000000,490,590,680,0.031042927,0.020912985,0.023006241,0.021009460,0.029422587,0.032146745,0.046717322,0.667670514,65536
6,5.000000,490,590,680,0.040762498,0.025963548,0.029877589,0.026605005,0.037250306,0.043539637,0.061860071,1.475804177,65536
6,10.000000,490,590,680,0.048885291,0.032492946,0.036479774,0.034654559,0.047217966,0.049622068,0.060065923,1.756468173,65536
6,20.000000,490,590,680,0.060171973,0.041883222,0.044880252,0.045294220,0.058855698,0.061166882,0.064992414,1.560244598,65536
6,45.000000,490,590,680,0.072585591,0.052044414,0.054729879,0.058221761,0.069271682,0.071422846,0.074716657,1.671302973,65536
6,90.000000,490,590,680,0.138271713,0.062651401,0.119448485,0.062124904,0.073740989,0.075292909,0.078569544,1.828274487,65536
7,-2.000000,490,590,670,0.025829906,0.017296563,0.018853545,0.016860055,0.024471133,0.027905445,0.041098207,0.260308985,65536
7,-1.000000,490,590,670,0.026044133,0.017453473,0.019086469,0.017187868,0.024460381,0.027830655,0.041235506,0.308290578,65536
7,0.000000,490,590,670,0.028170048,0.018323576,0.020902412,0.018105168,0.025429341,0.029070542,0.043914002,0.855106383,65536
7,1.000000,490,590,670,0.030542799,0.019702053,0.022487017,0.019496212,0.027415104,0.032223129,0.049265997,1.159129998,65536
7,2.000000,490,590,670,0.034175980,0.021508324,0.024664103,0.021251185,0.030281607,0.038047511,0.056969995,1.196432820,65536
7,5.000000,490,590,670,0.046715706,0.027352818,0.032885345,0.027118758,0.039796519,0.055321446,0.078971502,2.000884747,65536
7,10.000000,490,590,670,0.051985666,0.033318969,0.038246753,0.034970075,0.046836592,0.054955652,0.075103329,2.242920715,65536
7,20.000000,490,590,670,0.059136392,0.041264567,0.044275852,0.044851662,0.057096330,0.059442158,0.063526001,2.016723080,65536
7,45.000000,490,590,670,0.069939660,0.050091944,0.052690170,0.055243096,0.066653704,0.068997960,0.072438122,1.903162509,65536
7,90.000000,490,590,670,0.145965008,0.061067366,0.127806158,0.058885867,0.071088368,0.072635399,0.075746286,2.010817041,65536
8,-2.000000,490,590,690,0.028650797,0.019395619,0.020974504,0.019065163,0.027254919,0.030705171,0.044227751,0.261484750,65536
8,-1.000000,490,590,690,0.028545963,0.019390955,0.021039057,0.019280922,0.026988377,0.030027625,0.043982392,0.303458036,65536
8,0.000000,490,590,690,0.030824462,0.020018482,0.023185994,0.019985791,0.027653542,0.030553872,0.045026158,1.134743789,65536
8,1.000000,490,590,690,0.031062803,0.020759095,0.023189915,0.020903864,0.028786792,0.031491551,0.046508469,0.977694043,65536
8,2.000000,490,590,690,0.031562493,0.021490637,0.023430023,0.021607443,0.030215493,0.032529879,0.045195505,0.473279642,65536
8,5.000000,490,590,690,0.039829402,0.026319502,0.029618774,0.027284022,0.037617131,0.040842512,0.055527539,1.244100783,65536
8,10.000000,490,590,690,0.049630124,0.033652930,0.037114117,0.036232356,0.048032081,0.050064025,0.057469953,1.546278054,65536
